2023-05-09 16:17:23,116 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.16, 'as': 0.7989, 't': Timestamp(seconds=1683667043, nanoseconds=153341516)}
2023-05-09 16:17:23,116 - INFO - trade {'T': 't', 'S': 'ETH/USD', 'p': 1854.16, 's': 0.0011, 't': Timestamp(seconds=1683667043, nanoseconds=148000000), 'i': 7466855, 'tks': 'B'}
2023-05-09 16:17:23,474 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.07, 'as': 0.5392, 't': Timestamp(seconds=1683667043, nanoseconds=530811504)}
2023-05-09 16:17:23,825 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.17, 'as': 1.85, 't': Timestamp(seconds=1683667043, nanoseconds=805486157)}
2023-05-09 16:17:23,825 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.16, 'as': 0.8, 't': Timestamp(seconds=1683667043, nanoseconds=811305189)}
2023-05-09 16:17:23,825 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.15, 'as': 1.85, 't': Timestamp(seconds=1683667043, nanoseconds=821350654)}
2023-05-09 16:17:23,826 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.08, 'as': 0.5392, 't': Timestamp(seconds=1683667043, nanoseconds=825820201)}
2023-05-09 16:17:25,334 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.08, 'as': 1.3392, 't': Timestamp(seconds=1683667045, nanoseconds=390162944)}
2023-05-09 16:17:25,339 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.08, 'as': 0.5392, 't': Timestamp(seconds=1683667045, nanoseconds=394978350)}
2023-05-09 16:17:25,792 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.08, 'as': 1.3392, 't': Timestamp(seconds=1683667045, nanoseconds=848480225)}
2023-05-09 16:17:25,983 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.08, 'as': 3.1892, 't': Timestamp(seconds=1683667046, nanoseconds=38906038)}
2023-05-09 16:17:25,991 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.08, 'as': 2.3892, 't': Timestamp(seconds=1683667046, nanoseconds=47180576)}
2023-05-09 16:17:25,993 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.07, 'as': 0.8, 't': Timestamp(seconds=1683667046, nanoseconds=48897206)}
2023-05-09 16:17:25,996 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.08, 'as': 2.3892, 't': Timestamp(seconds=1683667046, nanoseconds=52142269)}
2023-05-09 16:17:25,998 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.08, 'as': 3.1892, 't': Timestamp(seconds=1683667046, nanoseconds=53883381)}
2023-05-09 16:17:25,998 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.08, 'as': 1.3392, 't': Timestamp(seconds=1683667046, nanoseconds=53937534)}
2023-05-09 16:17:26,075 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.08, 'as': 0.5392, 't': Timestamp(seconds=1683667046, nanoseconds=129751109)}
2023-05-09 16:17:26,081 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.08, 'as': 1.3392, 't': Timestamp(seconds=1683667046, nanoseconds=136417747)}
2023-05-09 16:17:26,086 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.08, 'as': 0.5392, 't': Timestamp(seconds=1683667046, nanoseconds=141954695)}
2023-05-09 16:17:27,154 - INFO - trade {'T': 't', 'S': 'ETH/USD', 'p': 1854.08, 's': 0.0015, 't': Timestamp(seconds=1683667047, nanoseconds=203000000), 'i': 7466856, 'tks': 'B'}
2023-05-09 16:17:27,154 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.08, 'as': 0.5377, 't': Timestamp(seconds=1683667047, nanoseconds=209819647)}
2023-05-09 16:17:31,123 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.36, 'as': 1.85, 't': Timestamp(seconds=1683667051, nanoseconds=179853464)}
2023-05-09 16:17:31,128 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.6, 'as': 2.3916, 't': Timestamp(seconds=1683667051, nanoseconds=184536597)}
2023-05-09 16:17:31,129 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.6, 'as': 1.85, 't': Timestamp(seconds=1683667051, nanoseconds=185772414)}
2023-05-09 16:17:31,138 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.54, 'as': 1.85, 't': Timestamp(seconds=1683667051, nanoseconds=188823205)}
2023-05-09 16:17:31,139 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.34, 'as': 1.85, 't': Timestamp(seconds=1683667051, nanoseconds=189865743)}
2023-05-09 16:17:31,139 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.54, 'as': 1.85, 't': Timestamp(seconds=1683667051, nanoseconds=190088112)}
2023-05-09 16:17:31,139 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 2.6586, 'ap': 1854.54, 'as': 1.85, 't': Timestamp(seconds=1683667051, nanoseconds=192254222)}
2023-05-09 16:17:31,150 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 0.8086, 'ap': 1854.54, 'as': 1.85, 't': Timestamp(seconds=1683667051, nanoseconds=195010723)}
2023-05-09 16:17:31,152 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1853.85, 'bs': 2.6586, 'ap': 1854.54, 'as': 1.85, 't': Timestamp(seconds=1683667051, nanoseconds=200336493)}
