2023-05-09 16:17:25,713 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27720.0, 'bs': 0.01036, 'ap': 27733.19, 'as': 0.18397, 't': Timestamp(seconds=1683667045, nanoseconds=761603687)}
2023-05-09 16:17:25,721 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27720.0, 'bs': 0.01036, 'ap': 27732.34, 'as': 0.19, 't': Timestamp(seconds=1683667045, nanoseconds=777630703)}
2023-05-09 16:17:25,748 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.00534, 'ap': 27732.34, 'as': 0.19, 't': Timestamp(seconds=1683667045, nanoseconds=804384974)}
2023-05-09 16:17:25,753 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.00534, 'ap': 27733.19, 'as': 0.18397, 't': Timestamp(seconds=1683667045, nanoseconds=809843516)}
2023-05-09 16:17:25,782 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.00534, 'ap': 27732.93, 'as': 0.19, 't': Timestamp(seconds=1683667045, nanoseconds=838555071)}
2023-05-09 16:17:25,892 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.00534, 'ap': 27732.92, 'as': 0.16627, 't': Timestamp(seconds=1683667045, nanoseconds=948011585)}
2023-05-09 16:17:27,474 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.00534, 'ap': 27732.93, 'as': 0.19, 't': Timestamp(seconds=1683667047, nanoseconds=530752660)}
2023-05-09 16:17:27,480 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.00534, 'ap': 27733.2, 'as': 0.03606, 't': Timestamp(seconds=1683667047, nanoseconds=536404789)}
2023-05-09 16:17:27,487 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.00534, 'ap': 27732.7, 'as': 0.19, 't': Timestamp(seconds=1683667047, nanoseconds=541478526)}
2023-05-09 16:17:27,487 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.00534, 'ap': 27733.2, 'as': 0.03606, 't': Timestamp(seconds=1683667047, nanoseconds=541587413)}
2023-05-09 16:17:27,491 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.00534, 'ap': 27733.08, 'as': 0.19, 't': Timestamp(seconds=1683667047, nanoseconds=547658037)}
2023-05-09 16:17:27,496 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.00534, 'ap': 27733.2, 'as': 0.03606, 't': Timestamp(seconds=1683667047, nanoseconds=551696327)}
