symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ETH/USD,2023-05-10 06:39:00+00:00,1844.47,1844.87,1844.47,1844.87,0.1902,4.0,1844.4732807571
ETH/USD,2023-05-10 06:40:00+00:00,1844.47,1844.47,1843.58,1843.58,1.7316,12.0,1844.3954088704
ETH/USD,2023-05-10 06:41:00+00:00,1843.72,1844.96,1843.6,1844.96,1.9103,9.0,1844.4928744176
ETH/USD,2023-05-10 06:42:00+00:00,1844.61,1844.61,1844.48,1844.58,0.2348,3.0,1844.556362862
ETH/USD,2023-05-10 06:43:00+00:00,1844.61,1844.85,1844.41,1844.41,3.2987,7.0,1844.7095179919
ETH/USD,2023-05-10 06:44:00+00:00,1844.53,1845.4,1844.53,1845.4,1.8687,7.0,1845.1922587895
ETH/USD,2023-05-10 06:45:00+00:00,1845.21,1845.55,1844.73,1845.22,9.9544,22.0,1845.2007169694
ETH/USD,2023-05-10 06:46:00+00:00,1845.58,1846.01,1845.24,1845.24,0.6673,7.0,1845.5615135621
ETH/USD,2023-05-10 06:47:00+00:00,1844.54,1844.85,1844.54,1844.85,0.9575,4.0,1844.7990078329
ETH/USD,2023-05-10 06:48:00+00:00,1844.02,1844.36,1843.34,1843.34,10.0937,11.0,1843.4546867848
ETH/USD,2023-05-10 06:50:00+00:00,1844.08,1844.58,1843.48,1843.82,7.1749,14.0,1843.7810259376
ETH/USD,2023-05-10 06:51:00+00:00,1843.34,1843.34,1842.46,1843.1,1.522,6.0,1842.934370565
ETH/USD,2023-05-10 06:52:00+00:00,1842.83,1843.9,1842.69,1843.9,34.5318,18.0,1842.7132956
ETH/USD,2023-05-10 06:53:00+00:00,1844.31,1844.31,1844.31,1844.31,0.1532,1.0,1844.31
ETH/USD,2023-05-10 06:54:00+00:00,1844.0,1845.15,1844.0,1845.15,0.5583,5.0,1844.6525935877
ETH/USD,2023-05-10 06:55:00+00:00,1844.71,1844.9,1844.71,1844.71,0.6748,3.0,1844.8493183165
ETH/USD,2023-05-10 06:56:00+00:00,1844.94,1845.35,1844.94,1845.35,1.0106,4.0,1845.2885582822
ETH/USD,2023-05-10 06:57:00+00:00,1845.02,1845.02,1844.7,1844.7,0.9363,2.0,1845.01613799
ETH/USD,2023-05-10 06:59:00+00:00,1844.82,1844.82,1844.82,1844.82,0.925,1.0,1844.82
ETH/USD,2023-05-10 07:00:00+00:00,1844.71,1844.71,1842.89,1843.32,2.0517,11.0,1843.2040005849
ETH/USD,2023-05-10 07:01:00+00:00,1843.7,1843.7,1841.99,1843.1,4.6416,10.0,1842.5700370562
ETH/USD,2023-05-10 07:02:00+00:00,1843.47,1844.1,1841.99,1842.44,1.4873,10.0,1842.9938875815
ETH/USD,2023-05-10 07:03:00+00:00,1842.81,1843.14,1842.26,1842.77,0.151,4.0,1842.4022913907
ETH/USD,2023-05-10 07:05:00+00:00,1843.35,1843.63,1843.35,1843.63,0.0032,2.0,1843.39375
ETH/USD,2023-05-10 07:06:00+00:00,1843.18,1843.18,1843.18,1843.18,0.8,1.0,1843.18
